Ship Movement Update,Gear System Update,Lerper Update,ParticleSystem Update,Instructions Draw,Gear System Draw,ParticleSystem Draw,Ship Draw
2.46551e-006,8.21837e-007,7.39653e-006,0.000244907,0,0.000310243,0.0012418,4.5201e-005
7.80745e-006,2.46551e-006,1.89022e-005,0.000302025,0,0.000296683,0.00124549,4.56119e-005
6.98561e-006,2.46551e-006,2.0135e-005,0.000303258,0,0.000273672,0.00127467,4.56119e-005
0.000162724,4.10918e-007,5.34194e-006,0.000204637,0,0.000280657,0.00129439,4.5201e-005
1.56149e-005,2.05459e-006,1.97241e-005,0.000302847,0,0.000281068,0.0012644,4.56119e-005
3.28735e-006,8.21837e-007,1.15057e-005,0.000245729,0,0.00029997,0.00129973,4.5201e-005
6.57469e-006,2.05459e-006,1.93132e-005,0.000300381,0,0.000283534,0.00120399,4.43792e-005
2.0135e-005,2.46551e-006,1.84913e-005,0.000291752,0,0.000297094,0.00125084,4.56119e-005
6.98561e-006,2.46551e-006,1.97241e-005,0.000289697,0,0.000286821,0.00116947,4.35573e-005
7.39653e-006,2.46551e-006,2.09568e-005,0.000288054,0,0.000281479,0.00115961,4.35573e-005
6.57469e-006,2.46551e-006,1.72586e-005,0.000279424,0,0.000278192,0.00115673,4.68447e-005
1.31494e-005,2.46551e-006,1.93132e-005,0.000278192,0,0.000297094,0.00111318,4.23246e-005
6.98561e-006,2.46551e-006,1.93132e-005,0.000270384,0,0.00028189,0.00108524,4.19137e-005
6.57469e-006,2.46551e-006,2.13678e-005,0.000274493,0,0.000299148,0.00111318,4.64338e-005
2.46551e-006,4.10918e-007,8.62928e-006,0.000195597,0,0.000302436,0.00122207,4.97211e-005
6.57469e-006,2.46551e-006,2.05459e-005,0.000273672,0,0.000279424,0.0010614,4.19137e-005
7.39653e-006,2.46551e-006,1.89022e-005,0.000273672,0,0.000298327,0.00155533,4.60228e-005
7.39653e-006,2.46551e-006,2.26005e-005,0.000268741,0,0.000283534,0.00112099,4.43792e-005
3.28735e-006,8.21837e-007,1.0273e-005,0.000218609,0,0.0003086,0.001084,4.31464e-005
6.98561e-006,2.05459e-006,1.97241e-005,0.000273261,0,0.000269562,0.0010651,4.64338e-005
6.57469e-006,2.46551e-006,2.05459e-005,0.000264631,0,0.000297094,0.00111523,4.64338e-005
6.98561e-006,2.87643e-006,2.05459e-005,0.00025518,0,0.000281068,0.00114441,4.64338e-005
7.39653e-006,2.05459e-006,1.97241e-005,0.000270795,0,0.000296272,0.00109304,4.31464e-005
6.98561e-006,2.46551e-006,1.76695e-005,0.00026381,0,0.000277781,0.00110701,4.80774e-005
6.57469e-006,2.05459e-006,1.97241e-005,8.87583e-005,0,0.000285177,0.00104455,4.23246e-005
6.98561e-006,2.46551e-006,1.97241e-005,0.000260111,0,0.000271617,0.00102319,4.15027e-005
6.98561e-006,2.46551e-006,1.97241e-005,0.000269151,0,0.000297094,0.0011103,4.60228e-005
6.98561e-006,2.46551e-006,1.76695e-005,0.000270795,0,0.000285999,0.00111482,4.5201e-005
6.57469e-006,2.46551e-006,1.89022e-005,0.000265864,0,0.00042078,0.00103346,4.47901e-005
8.75256e-005,4.10918e-007,6.57469e-006,0.00018327,0,0.000502142,0.00135562,4.60228e-005
6.98561e-006,2.05459e-006,1.97241e-005,0.000265453,0,0.000279424,0.00125864,4.60228e-005
